{'number': 225, 'schoenflies': 'Oh^5', 'international': 'Fm-3m', 'pointgroup_schoenflies': 'Oh', 'pointgroup_international': 'm-3m', 'lattice_type': 'Cubic'}   SnTe   mp-num    N_points: 5000 

         energy                dos          total_dos 
      3.1510000           1.5740000         15.3500000     
      3.1530000           1.5780000         15.3500000     
      3.1550000           1.5820000         15.3500000     
      3.1560000           1.5860000         15.3600000     
      3.1580000           1.5900000         15.3600000     
      3.1590000           1.5940000         15.3600000     
      3.1610000           1.5980000         15.3600000     
      3.1630000           1.6020000         15.3700000     
      3.1640000           1.6060000         15.3700000     
      3.1660000           1.6110000         15.3700000     
      3.1670000           1.6150000         15.3700000     
      3.1690000           1.6190000         15.3800000     
      3.1710000           1.6240000         15.3800000     
      3.1720000           1.6280000         15.3800000     
      3.1740000           1.6330000         15.3800000     
      3.1750000           1.6370000         15.3900000     
      3.1770000           1.6420000         15.3900000     
      3.1790000           1.6560000         15.3900000     
      3.1800000           1.6770000         15.4000000     
      3.1820000           1.6960000         15.4000000     
      3.1830000           1.7140000         15.4000000     
      3.1850000           1.7300000         15.4000000     
      3.1870000           1.7440000         15.4100000     
      3.1880000           1.7570000         15.4100000     
      3.1900000           1.7680000         15.4100000     
      3.1910000           1.7770000         15.4100000     
      3.1930000           1.7850000         15.4200000     
      3.1950000           1.7910000         15.4200000     
      3.1960000           1.7950000         15.4200000     
      3.1980000           1.7980000         15.4300000     
      3.1990000           1.7980000         15.4300000     
      3.2010000           1.7970000         15.4300000     
      3.2030000           1.7950000         15.4300000     
      3.2040000           1.7900000         15.4400000     
      3.2060000           1.7840000         15.4400000     
      3.2070000           1.7770000         15.4400000     
      3.2090000           1.7670000         15.4500000     
      3.2110000           1.7560000         15.4500000     
      3.2120000           1.7440000         15.4500000     
      3.2140000           1.7300000         15.4500000     
      3.2150000           1.7140000         15.4600000     
      3.2170000           1.6960000         15.4600000     
      3.2190000           1.6770000         15.4600000     
      3.2200000           1.6710000         15.4700000     
      3.2220000           1.6730000         15.4700000     
      3.2230000           1.6750000         15.4700000     
      3.2250000           1.6770000         15.4700000     
      3.2270000           1.6790000         15.4800000     
      3.2280000           1.6820000         15.4800000     
      3.2300000           1.6840000         15.4800000     
      3.2310000           1.6860000         15.4800000     
      3.2330000           1.6890000         15.4900000     
      3.2350000           1.6910000         15.4900000     
      3.2360000           1.6930000         15.4900000     
      3.2380000           1.6950000         15.5000000     
      3.2390000           1.6970000         15.5000000     
      3.2410000           1.6990000         15.5000000     
      3.2430000           1.7010000         15.5000000     
      3.2440000           1.7030000         15.5100000     
      3.2460000           1.7050000         15.5100000     
      3.2470000           1.7070000         15.5100000     
      3.2490000           1.7090000         15.5100000     
      3.2510000           1.7110000         15.5200000     
      3.2520000           1.7130000         15.5200000     
      3.2540000           1.7150000         15.5200000     
      3.2550000           1.7170000         15.5300000     
      3.2570000           1.7200000         15.5300000     
      3.2590000           1.7220000         15.5300000     
      3.2600000           1.7240000         15.5300000     
      3.2620000           1.7260000         15.5400000     
      3.2630000           1.7290000         15.5400000     
      3.2650000           1.7310000         15.5400000     
      3.2670000           1.7340000         15.5400000     
      3.2680000           1.7360000         15.5500000     
      3.2700000           1.7390000         15.5500000     
      3.2710000           1.7410000         15.5500000     
      3.2730000           1.7440000         15.5600000     
      3.2750000           1.7460000         15.5600000     
      3.2760000           1.7490000         15.5600000     
      3.2780000           1.7520000         15.5600000     
      3.2790000           1.7540000         15.5700000     
      3.2810000           1.7570000         15.5700000     
      3.2830000           1.7600000         15.5700000     
      3.2840000           1.7630000         15.5800000     
      3.2860000           1.7650000         15.5800000     
      3.2870000           1.7680000         15.5800000     
      3.2890000           1.7710000         15.5800000     
      3.2910000           1.7740000         15.5900000     
      3.2920000           1.7770000         15.5900000     
      3.2940000           1.7800000         15.5900000     
      3.2950000           1.7830000         15.6000000     
      3.2970000           1.7860000         15.6000000     
      3.2990000           1.7890000         15.6000000     
      3.3000000           1.7920000         15.6000000     
      3.3020000           1.7960000         15.6100000     
      3.3030000           1.7990000         15.6100000     
      3.3050000           1.8020000         15.6100000     
      3.3070000           1.8050000         15.6200000     
      3.3080000           1.8090000         15.6200000     
      3.3100000           1.8120000         15.6200000     
      3.3110000           1.8150000         15.6200000     
      3.3130000           1.8190000         15.6300000     
      3.3150000           1.8220000         15.6300000     
      3.3160000           1.8260000         15.6300000     
      3.3180000           1.8250000         15.6400000     
      3.3190000           1.8160000         15.6400000     
      3.3210000           1.8080000         15.6400000     
      3.3230000           1.8000000         15.6400000     
      3.3240000           1.7920000         15.6500000     
      3.3260000           1.7840000         15.6500000     
      3.3270000           1.7770000         15.6500000     
      3.3290000           1.7690000         15.6600000     
      3.3310000           1.7620000         15.6600000     
      3.3320000           1.7560000         15.6600000     
      3.3340000           1.7490000         15.6600000     
      3.3350000           1.7430000         15.6700000     
      3.3370000           1.7370000         15.6700000     
      3.3390000           1.7320000         15.6700000     
      3.3400000           1.7270000         15.6800000     
      3.3420000           1.7220000         15.6800000     
      3.3430000           1.7180000         15.6800000     
      3.3450000           1.7140000         15.6800000     
      3.3470000           1.7100000         15.6900000     
      3.3480000           1.7060000         15.6900000     
      3.3500000           1.7030000         15.6900000     
      3.3510000           1.7000000         15.6900000     
      3.3530000           1.6970000         15.7000000     
      3.3550000           1.6950000         15.7000000     
      3.3560000           1.6930000         15.7000000     
      3.3580000           1.6910000         15.7100000     
      3.3590000           1.6890000         15.7100000     
      3.3610000           1.6880000         15.7100000     
      3.3630000           1.6860000         15.7100000     
      3.3640000           1.6850000         15.7200000     
      3.3660000           1.6850000         15.7200000     
      3.3670000           1.6840000         15.7200000     
      3.3690000           1.6840000         15.7200000     
      3.3710000           1.6840000         15.7300000     
      3.3720000           1.6850000         15.7300000     
      3.3740000           1.6850000         15.7300000     
      3.3750000           1.6850000         15.7300000     
      3.3770000           1.6850000         15.7400000     
      3.3790000           1.6850000         15.7400000     
      3.3800000           1.6850000         15.7400000     
      3.3820000           1.6850000         15.7500000     
      3.3830000           1.6850000         15.7500000     
      3.3850000           1.6850000         15.7500000     
      3.3870000           1.6850000         15.7500000     
      3.3880000           1.6850000         15.7600000     
      3.3900000           1.6850000         15.7600000     
      3.3910000           1.6850000         15.7600000     
      3.3930000           1.6850000         15.7600000     
      3.3950000           1.6840000         15.7700000     
      3.3960000           1.6850000         15.7700000     
      3.3980000           1.6850000         15.7700000     
      3.3990000           1.6850000         15.7800000     
      3.4010000           1.6850000         15.7800000     
      3.4030000           1.6850000         15.7800000     
      3.4040000           1.6850000         15.7800000     
      3.4060000           1.6850000         15.7900000     
      3.4070000           1.6850000         15.7900000     
