{'number': 225, 'schoenflies': 'Oh^5', 'international': 'Fm-3m', 'pointgroup_schoenflies': 'Oh', 'pointgroup_international': 'm-3m', 'lattice_type': 'Cubic'}   SnTe   mp-num    N_points: 5000 

         energy                dos          total_dos 
      3.0500000           1.6390000         15.3200000     
      3.0510000           1.6390000         15.3200000     
      3.0530000           1.6390000         15.3200000     
      3.0540000           1.6390000         15.3300000     
      3.0560000           1.6380000         15.3300000     
      3.0580000           1.6380000         15.3300000     
      3.0590000           1.6370000         15.3300000     
      3.0610000           1.6370000         15.3400000     
      3.0620000           1.6370000         15.3400000     
      3.0640000           1.6360000         15.3400000     
      3.0660000           1.6360000         15.3400000     
      3.0670000           1.6350000         15.3500000     
      3.0690000           1.6350000         15.3500000     
      3.0700000           1.6350000         15.3500000     
      3.0720000           1.6340000         15.3500000     
      3.0740000           1.6330000         15.3600000     
      3.0750000           1.6330000         15.3600000     
      3.0770000           1.6320000         15.3600000     
      3.0780000           1.6310000         15.3600000     
      3.0800000           1.6300000         15.3700000     
      3.0820000           1.6280000         15.3700000     
      3.0830000           1.6270000         15.3700000     
      3.0850000           1.6220000         15.3700000     
      3.0860000           1.6160000         15.3800000     
      3.0880000           1.6150000         15.3800000     
      3.0900000           1.6140000         15.3800000     
      3.0910000           1.6110000         15.3900000     
      3.0930000           1.6090000         15.3900000     
      3.0940000           1.6070000         15.3900000     
      3.0960000           1.6050000         15.3900000     
      3.0980000           1.6040000         15.4000000     
      3.0990000           1.6030000         15.4000000     
      3.1010000           1.6020000         15.4000000     
      3.1020000           1.6010000         15.4000000     
      3.1040000           1.6010000         15.4100000     
      3.1060000           1.6010000         15.4100000     
      3.1070000           1.6020000         15.4100000     
      3.1090000           1.6030000         15.4100000     
      3.1100000           1.6030000         15.4200000     
      3.1120000           1.6030000         15.4200000     
      3.1140000           1.6030000         15.4200000     
      3.1150000           1.6040000         15.4200000     
      3.1170000           1.6040000         15.4300000     
      3.1180000           1.6050000         15.4300000     
      3.1200000           1.6050000         15.4300000     
      3.1220000           1.6050000         15.4300000     
      3.1230000           1.6060000         15.4400000     
      3.1250000           1.6060000         15.4400000     
      3.1260000           1.6050000         15.4400000     
      3.1280000           1.6050000         15.4400000     
      3.1300000           1.6050000         15.4500000     
      3.1310000           1.6040000         15.4500000     
      3.1330000           1.6040000         15.4500000     
      3.1340000           1.6030000         15.4500000     
      3.1360000           1.6030000         15.4600000     
      3.1380000           1.6020000         15.4600000     
      3.1390000           1.6010000         15.4600000     
      3.1410000           1.6000000         15.4600000     
      3.1420000           1.5990000         15.4700000     
      3.1440000           1.5980000         15.4700000     
      3.1460000           1.5960000         15.4700000     
      3.1470000           1.5950000         15.4800000     
      3.1490000           1.5930000         15.4800000     
      3.1500000           1.5910000         15.4800000     
      3.1520000           1.5880000         15.4800000     
      3.1540000           1.5840000         15.4900000     
      3.1550000           1.5810000         15.4900000     
      3.1570000           1.5800000         15.4900000     
      3.1580000           1.5790000         15.4900000     
      3.1600000           1.5790000         15.5000000     
      3.1620000           1.5790000         15.5000000     
      3.1630000           1.5780000         15.5000000     
      3.1650000           1.5780000         15.5000000     
      3.1660000           1.5770000         15.5100000     
      3.1680000           1.5770000         15.5100000     
      3.1700000           1.5760000         15.5100000     
      3.1710000           1.5750000         15.5100000     
      3.1730000           1.5740000         15.5200000     
      3.1740000           1.5730000         15.5200000     
      3.1760000           1.5720000         15.5200000     
      3.1780000           1.5720000         15.5200000     
      3.1790000           1.5710000         15.5300000     
      3.1810000           1.5700000         15.5300000     
      3.1820000           1.5700000         15.5300000     
      3.1840000           1.5690000         15.5300000     
      3.1860000           1.5690000         15.5400000     
      3.1870000           1.5680000         15.5400000     
      3.1890000           1.5680000         15.5400000     
      3.1900000           1.5670000         15.5400000     
      3.1920000           1.5670000         15.5500000     
      3.1940000           1.5670000         15.5500000     
      3.1950000           1.5660000         15.5500000     
      3.1970000           1.5660000         15.5500000     
      3.1980000           1.5660000         15.5600000     
